date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,Mkt-RF,Mkt,RF,TB3MS
196307,-0.78,-0.08,-1.37,3.39,-2.47,-1.8,0.02,0.6,0.66,-1.06,-0.39,-0.12,0.27,3.18
196308,3.56,4.18,4.13,7.32,2.91,7.57,3.49,7.28,3.86,4.39,5.07,5.32,0.25,3.32
196309,-0.75,-2.69,-1.22,0.46,0.37,-2.94,-1.05,-1.33,-1.93,-1.48,-1.57,-1.3,0.27,3.38
196310,2.39,2.54,0.88,-0.86,4.43,4.89,0.73,3.8,-0.79,0.95,2.53,2.82,0.29,3.45
196311,-2.01,-2.11,-0.98,0.87,-3,0.14,-3.21,-1.55,-0.99,-1.96,-0.85,-0.58,0.27,3.52
196312,-0.31,-2.19,-0.44,1.57,-3.52,-1.33,-2.07,-0.45,1.8,0.66,1.83,2.12,0.29,3.52
196401,3.27,4.35,3.95,4.59,2.3,2.46,2.69,3.66,1.34,2.92,2.24,2.54,0.3,3.52
196402,1.9,2.07,2.77,1.19,0.92,3.11,2.25,0.97,1.08,5.13,1.54,1.8,0.26,3.53
196403,1.21,1.17,4.83,0.59,2.04,3.78,2.44,-1.4,-0.42,3.47,1.41,1.72,0.31,3.54
196404,0.76,1.88,-0.89,4.37,-1.96,0.35,1.1,-1.47,0.85,-0.25,0.1,0.39,0.29,3.47
196405,0.51,-0.95,1.02,2.6,-1.81,4.52,0.38,0,1.58,0.97,1.42,1.68,0.26,3.48
196406,2.07,0.38,1.02,1.46,0.49,1.01,2.7,-0.27,1.45,-0.44,1.27,1.57,0.3,3.48
196407,2.56,3.35,3.18,4.16,1.62,1.17,3.03,4.83,4.33,2.41,1.74,2.04,0.3,3.46
196408,-0.2,-1.47,-0.43,0.63,-1.83,-0.89,0.07,-2.43,0.52,-1.36,-1.44,-1.16,0.28,3.5
196409,2.93,4.14,3.69,1.66,4.61,3.06,4.17,5.24,1.93,5.41,2.69,2.97,0.28,3.53
196410,1.68,2.39,1.85,1.95,0.83,3.15,2.56,2.29,0.84,2.57,0.59,0.88,0.29,3.57
196411,0.13,-0.56,-0.46,-0.37,-1.9,1.01,2.23,2.05,1.82,-0.76,0,0.29,0.29,3.64
196412,-0.99,-1.91,-1.79,-1.29,-0.72,0.16,-2.13,3.48,0.47,-1.66,0.03,0.34,0.31,3.84
196501,7.82,7.24,7.48,6.99,10.62,3.81,8.66,7.71,3.89,6.06,3.54,3.82,0.28,3.81
196502,4.22,2.76,3.77,1.08,2.98,6.33,3.15,2.05,1.25,3.94,0.44,0.74,0.3,3.93
196503,0.67,3.77,1.63,1.51,1.94,0.9,2,0.68,-0.71,1.04,-1.34,-0.98,0.36,3.93
196504,3.49,5.92,4.73,6,6.07,2.88,4.19,2.98,0.54,2.75,3.11,3.42,0.31,3.93
196505,0.02,1.99,-0.74,-2.29,-0.04,1.66,0.26,-1.48,-1.32,-1.62,-0.77,-0.46,0.31,3.89
196506,-7.5,-8.68,-8.7,-7.63,-10.71,-8.5,-9.4,-6.35,-4.05,-8.05,-5.51,-5.16,0.35,3.8
196507,2.18,2.72,3.46,2.26,5.21,2.76,1.46,4.36,1.24,3.07,1.43,1.74,0.31,3.84
196508,3.62,4.12,4.06,1.58,9.11,6.13,3.53,6.66,1.79,4.35,2.73,3.06,0.33,3.84
196509,0.05,6.77,3.4,1.91,5.8,3.62,2.35,3.21,0.87,1.84,2.86,3.17,0.31,3.92
196510,4.06,10.31,6.6,6.98,9.49,2.11,4.22,4.25,1.04,5.86,2.6,2.91,0.31,4.03
196511,1.92,7.26,5.07,3.57,14.42,5.08,2.8,4.46,-0.73,5.12,-0.03,0.32,0.35,4.09
196512,3.88,2.56,4.9,4.06,2.65,7.75,3.81,4.91,-0.17,6.42,1.01,1.34,0.33,4.38
196601,6.28,9.85,7.03,8.83,7.04,-0.04,4.85,4.41,-2.09,7.58,0.72,1.1,0.38,4.59
196602,2.02,6.8,3.26,3.39,7.38,0.03,2.11,-0.27,-3.54,3.4,-1.21,-0.86,0.35,4.65
196603,-2.33,0.3,-1.04,0.2,-1.5,-3.34,-1.34,-1.56,-0.72,0.52,-2.51,-2.13,0.38,4.59
196604,1.61,5.84,5.49,4.3,11.6,3.05,4.13,4.7,0.22,4.3,2.14,2.48,0.34,4.62
196605,-7.8,-11.52,-9.23,-6.59,-14.21,-5.98,-7.47,-7.02,-2.69,-9.28,-5.66,-5.25,0.41,4.64
196606,-0.93,-1.18,-0.61,-0.72,2.46,-0.45,-0.62,1.95,-1.96,-0.89,-1.44,-1.06,0.38,4.5
196607,-1.61,-1.98,-1.62,-0.82,-2.22,-1.87,-1.96,-1.44,-0.19,-1.78,-1.63,-1.28,0.35,4.8
196608,-10.64,-10.37,-9.85,-10,-8.68,-9.91,-9.31,-9.49,-7.72,-11.87,-7.91,-7.5,0.41,4.96
196609,-1.8,-3.5,-2.4,0.59,-3.99,-1.92,-1.43,-1.84,3.47,-2.28,-1.06,-0.66,0.4,5.37
196610,-1.18,-4.23,-0.72,0.8,-9.07,5.34,-3.18,2.16,8.67,-2.55,3.86,4.31,0.45,5.35
196611,1.12,1.18,3.39,5.74,12.83,8.07,1.77,7.52,-1.85,7.29,1.4,1.8,0.4,5.32
196612,-1.08,0.5,2.78,1.64,4.39,7.12,0.73,1.94,1.76,0.68,0.13,0.53,0.4,4.96
196701,16.74,22.03,18.5,11.25,24.2,13.85,15.31,10.14,4.79,20.07,8.15,8.58,0.43,4.72
196702,4.98,5.35,4.17,3.08,5.24,5.88,6.43,2.86,-1.16,4.61,0.78,1.14,0.36,4.56
196703,4.86,3.57,7.13,6.68,7.67,7.94,3.95,8.58,1.39,6.66,3.99,4.38,0.39,4.26
196704,4.09,5.29,4.32,2.66,6.69,3.83,6.12,5.28,1.86,2.42,3.89,4.21,0.32,3.84
196705,-0.56,-2.02,-0.62,0.93,-2.29,-4.9,0.27,-4.43,-3.44,0.57,-4.33,-4,0.33,3.6
196706,6.74,9.65,9.2,8.91,14.74,5.9,9.26,6.25,-1.13,7.84,2.41,2.68,0.27,3.54
196707,8.85,10.66,7.98,11.38,5.38,2.13,8.26,5.17,2.78,11.48,4.58,4.89,0.31,4.21
196708,2.14,2.04,0.09,0.34,-2.7,-0.65,2.05,2.24,0.08,1.35,-0.89,-0.58,0.31,4.27
196709,7.34,8.27,5.04,8.99,9.92,3.07,9.7,6.41,0.07,4.97,3.11,3.43,0.32,4.42
196710,-1.07,-2.17,-3.57,0.52,-1.13,-8.53,0.49,-5.9,-4.46,-1.36,-3.09,-2.7,0.39,4.56
196711,-0.02,-1.85,-0.36,1.68,0.02,-0.48,0.53,1.5,1.92,0.15,0.37,0.73,0.36,4.73
196712,6.92,9.43,9,7.84,10.8,2.22,8.22,1.75,2.78,9.18,3.05,3.38,0.33,4.97
196801,3.45,1.61,0.65,2.33,-3.99,0.38,6.21,-5.26,2.29,6.09,-4.06,-3.66,0.4,5
196802,-4.48,-7.1,-6.42,-6.59,-9.3,-4.62,-3.93,-5.4,-0.96,-4.58,-3.75,-3.36,0.39,4.98
196803,0.11,-0.88,-1.9,1.84,-1.14,-0.96,0.64,-0.16,-3.35,-1.32,0.2,0.58,0.38,5.17
196804,16.14,16.69,14.26,12.44,17.47,12.01,15.66,11,2.96,14.48,9.05,9.48,0.43,5.38
196805,10.66,9.69,8.44,8.57,9.27,8.31,13.61,5.75,0.74,11.22,2.28,2.73,0.45,5.66
196806,2.54,-0.5,0.85,2.18,-2.51,3.48,1.31,1.01,8.56,2.42,0.69,1.12,0.43,5.52
196807,-2.2,-3.69,-3.55,0.43,-6.92,-5.86,-3.15,-3.75,0.48,-0.92,-2.72,-2.24,0.48,5.31
196808,4.03,3.63,3.9,3.19,1.92,5.89,5.17,2.11,-0.76,4.31,1.34,1.76,0.42,5.09
196809,6.85,9.98,6.18,7.27,6.25,8.21,8.04,1.59,0.46,9.67,4.03,4.46,0.43,5.19
196810,1.19,1.21,0.48,-0.1,-2.95,1.47,3.97,-0.47,1.4,0.77,0.42,0.86,0.44,5.35
196811,5.78,7,6.86,8.08,8.03,6.72,7.01,8.47,8.52,8.07,5.43,5.85,0.42,5.45
196812,0.45,0.23,0.77,4.88,-0.12,-4.43,0.66,-0.64,-3.02,0.64,-3.94,-3.51,0.43,5.96
196901,-0.62,-1.14,-0.62,0.83,-2.36,-2.44,-1.2,-0.49,2.28,0.91,-1.25,-0.72,0.53,6.14
196902,-8.88,-8.23,-8.67,-10.57,-10.46,-8.53,-8.43,-6.11,-4.37,-8.9,-5.84,-5.38,0.46,6.12
196903,0.29,3.67,2.39,6.69,0.91,0.59,2.39,3.64,-1.62,2.02,2.64,3.1,0.46,6.02
196904,-0.6,1.15,-1.06,0.29,1,3.34,1.01,3.92,0.97,2.09,1.46,1.99,0.53,6.11
196905,0.2,-0.1,-0.37,8.7,-0.85,3.31,1.43,2.46,-0.2,-0.52,-0.1,0.38,0.48,6.04
196906,-10.86,-11.43,-11.5,-11.21,-12.85,-8.83,-11.8,-8.09,-5.82,-12.91,-7.18,-6.67,0.51,6.44
196907,-9.69,-9.67,-9.33,-10.24,-12.01,-10.85,-11,-4.04,-3.1,-10.45,-7,-6.47,0.53,7
196908,3.84,4.89,4.44,6.62,6.6,3.89,7.24,10.44,-1.06,7.16,4.68,5.18,0.5,6.98
196909,-2.78,-3.2,-2.35,-8.8,-2.35,-1.95,-1.24,1.84,-3.72,-1.36,-2.98,-2.36,0.62,7.09
196910,8.79,10.61,8.72,3.33,16.93,13.61,10.2,11.13,7.48,7.84,5.06,5.66,0.6,7
196911,-5.6,-7.24,-5.7,-5.23,-5.25,-1.48,-5.07,-1.41,-4.3,-6.97,-3.79,-3.27,0.52,7.24
196912,-6.82,-10,-6.02,-7.64,-7.95,-1.96,-7.06,0.61,-1.41,-8.97,-2.63,-1.99,0.64,7.82
197001,-2.68,-4.52,-3.15,-3.53,-5.55,-7.74,-4.48,-4.11,-2.95,-5.1,-8.1,-7.5,0.6,7.87
197002,3.55,-0.61,3.76,5.23,3.32,7.22,2.47,4.13,6.83,6.91,5.13,5.75,0.62,7.13
197003,-1.5,-0.96,-1.64,-4.67,-6.6,-3.94,-3.47,-4.91,3.22,-2.6,-1.06,-0.49,0.57,6.63
197004,-13.52,-18.55,-15.33,-18.39,-21.51,-14.99,-16.94,-17.07,-6.51,-18.19,-11,-10.5,0.5,6.51
197005,-9.07,-9.36,-9.32,-3.16,-10.57,-8.32,-10.88,-10.36,-5.46,-9.42,-6.92,-6.39,0.53,6.84
197006,-6.71,-9.23,-7.92,-5.97,-11.3,-4.27,-6.61,-5.75,-3.98,-8.24,-5.79,-5.21,0.58,6.68
197007,5.76,8.37,4.8,16.29,-0.32,8.7,6.73,4.16,7.18,6.02,6.93,7.45,0.52,6.45
197008,5.03,8.67,5.96,8.64,8.13,4.5,4.85,4.87,3.98,7.23,4.49,5.02,0.53,6.41
197009,13.24,13.7,12.04,11.48,21.7,10.54,13.75,12.19,0.77,13.43,4.18,4.72,0.54,6.12
197010,-3.61,-7.41,-6.81,-0.93,-13.46,-3.66,-5.05,-4.42,-0.58,-6.66,-2.28,-1.82,0.46,5.91
197011,0.19,-0.16,-0.57,2.27,-3.6,2.23,0.01,-0.25,8.79,0.2,4.59,5.05,0.46,5.28
197012,12.11,9,8.76,2.21,4.74,6.67,10.93,9.09,6.75,6.9,5.72,6.14,0.42,4.87
