date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,Mkt-RF,Mkt,RF,TB3MS
196307,-0.47,-0.22,-1.41,2.29,-0.69,-0.23,-1.03,0.56,0.8,-1.61,-0.39,-0.12,0.27,3.18
196308,4.87,6.55,6.2,3.93,5.14,4.29,6.4,9.56,4.2,5.49,5.07,5.32,0.25,3.32
196309,-1.68,-0.24,-0.76,-3.64,0.13,2.36,0.96,-4.06,-2.5,-3.16,-1.57,-1.3,0.27,3.38
196310,2.66,9.72,2.58,-0.32,8.29,3.4,0.48,3.38,-0.67,1.38,2.53,2.82,0.29,3.45
196311,-1.13,-4.84,0.3,-1.15,-0.29,4.16,-1.23,-1.65,-1.02,0.23,-0.85,-0.58,0.27,3.52
196312,2.83,0.27,1.91,4.65,3.05,-0.14,0.34,1.54,2.42,2.8,1.83,2.12,0.29,3.52
196401,0.79,1.19,2.69,4.84,2.91,3.35,2.54,3.68,1.4,1.24,2.24,2.54,0.3,3.52
196402,1.85,2.14,2.76,1.06,1.96,-0.28,1.61,1.66,0.87,5.45,1.54,1.8,0.26,3.53
196403,3.08,0.93,3.7,1.4,3.38,-0.94,2.47,-1.94,-0.75,2.18,1.41,1.72,0.31,3.54
196404,-0.45,1.93,-1.72,4.02,-3.63,0.81,2.86,-1.42,1.06,0.26,0.1,0.39,0.29,3.47
196405,1.56,1.12,1.77,2.14,2.74,-0.4,3.88,0.53,0.84,2.42,1.42,1.68,0.26,3.48
196406,1.61,0.67,0.92,0.65,0.52,4.76,3.8,0.59,2.2,1.36,1.27,1.57,0.3,3.48
196407,1.72,5.28,1.34,3.34,-1.8,-1.99,1.27,4.76,4.91,1.34,1.74,2.04,0.3,3.46
196408,-0.26,1.33,-1.25,-1.86,-2.75,-1.53,0.34,-4.22,-0.01,-3.13,-1.44,-1.16,0.28,3.5
196409,1.68,5.04,4.77,3.08,1.15,-1.02,3.47,2.73,1.87,4.05,2.69,2.97,0.28,3.53
196410,-0.16,0.25,0.3,3.06,-0.99,-0.89,2.3,2.88,0.95,1.84,0.59,0.88,0.29,3.57
196411,0.7,-1.38,-0.52,2.55,-0.23,-2.23,3.25,2.17,1.37,-1.8,0,0.29,0.29,3.64
196412,0.24,1.67,-0.82,-0.24,-0.01,3.1,0.18,4.38,0.5,-1.78,0.03,0.34,0.31,3.84
196501,6.06,3.76,5.52,0.51,7.46,0.27,3.07,7.66,3.96,4.72,3.54,3.82,0.28,3.81
196502,1.59,-0.69,2.51,-3.36,2.2,0.79,1.4,2.42,0.43,2.58,0.44,0.74,0.3,3.93
196503,-0.8,1.39,-1.16,-3.03,-0.48,-1.68,-0.85,-0.92,-0.52,-0.27,-1.34,-0.98,0.36,3.93
