,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,RF3,Mkt
196307,0.349,-0.5833,0.0284,-0.3032,-0.6035,-1.6538,-0.0732,-0.7075,-1.9082,-1.2811,-1.7717,-1.7565,-0.6155,-1.9901,-1.8127,-0.9654,-1.4978,-1.8371,-2.0166,-1.9094,0.1956,-0.0148,0.3929,0.1913,-1.0563,0.27,-0.12
196308,2.4096,1.1936,1.8291,1.7282,4.8254,4.8875,4.4527,4.1895,4.2934,8.2536,5.5147,4.9838,5.5018,5.0357,5.3363,5.6257,4.5538,6.3265,7.5384,5.1719,6.9089,4.4425,5.352,7.6983,6.6156,0.26,5.32
196309,-0.5953,0.7062,-0.9084,-0.2567,-0.7452,-4.2431,-1.807,-0.7183,-0.625,-2.6026,-4.7445,-1.1773,-0.2634,-0.7065,-1.4053,-2.7373,-2.3258,-2.0656,-3.345,-1.5855,-2.3943,-1.9784,-0.9333,-1.079,-3.4128,0.263333333,-1.3
196310,2.8416,-1.2721,0.6903,1.4,1.3255,2.1757,4.2393,2.3017,2.4907,3.4306,1.8559,0.5896,2.7657,2.0034,1.2007,-0.1369,0.7239,2.673,4.9005,0.9066,3.2192,0.1279,0.2623,3.4682,0.3199,0.27,2.82
196311,-3.372,-3.556,-2.0412,-2.7382,-0.9139,-4.0902,-1.5356,-0.7372,0.0793,-0.1327,-2.8172,-1.6531,-0.9385,-1.1193,-0.8556,-0.8369,-0.734,-0.6553,1.1269,3.4703,-0.3414,-0.8419,-0.5449,-1.6267,3.6505,0.276666667,-0.58
196312,-3.5843,-1.8439,-1.3273,-2.4299,-1.8331,-0.8074,-0.7134,0.9644,0.7225,0.6209,1.3431,1.0447,1.5969,1.4127,0.5165,-0.1836,1.3213,1.8516,3.1309,5.5854,1.8233,2.2054,1.9483,2.1741,3.2125,0.283333333,2.12
196401,8.4421,5.9976,5.1942,4.9506,5.4386,-2.616,0.4413,4.1373,1.4149,4.527,0.8986,0.6233,2.1166,3.3883,3.4693,-0.7893,1.4761,1.4268,2.6218,2.8494,2.1644,0.9229,0.6776,2.4513,2.0404,0.286666667,2.54
196402,2.2122,2.0941,3.8541,1.0909,4.3202,1.8373,1.6695,2.3167,2.4882,5.5625,0.0963,2.2732,1.8676,3.7657,3.8219,2.5747,1.4876,3.1032,6.1013,3.8444,1.7274,1.3919,0.7755,4.017,3.2672,0.283333333,1.8
196403,0.3562,1.5416,1.8568,3.9063,2.7868,1.836,2.8774,3.4669,5.4507,6.6762,-0.2835,2.808,4.09,5.378,6.634,1.3145,2.3365,5.9727,6.2412,1.55,0.4288,1.8684,2.6588,4.255,1.2119,0.29,1.72
196404,-1.0441,2.1575,0.6677,-0.2213,-0.1988,-1.5943,-3.8335,0.4465,-1.2134,-0.2025,-2.234,-1.3498,0.6084,-0.5118,-0.822,-2.9117,0.6653,1.0661,-0.4406,-1.9242,-0.2498,1.3351,1.0685,-1.139,-0.8444,0.286666667,0.39
196405,-2.0756,-1.2997,0.1587,0.3858,0.9889,1.6792,0.2421,2.2354,1.5851,3.1699,-0.3761,1.3351,-0.3418,1.8514,2.3847,1.393,2.1695,1.2811,2.3603,3.6791,0.8174,0.8333,0.5936,3.2713,2.5109,0.286666667,1.68
196406,1.2174,-0.8999,1.1172,0.1306,0.7209,0.4628,1.5965,1.5371,1.2305,1.7845,1.0613,2.4551,2.7192,2.7945,1.0188,1.2724,1.3646,1.5429,2.7109,3.0401,1.7673,2.0891,1.2107,1.2616,3.7492,0.283333333,1.57
196407,1.6125,4.2685,3.7389,2.8062,5.2422,1.1767,1.9783,4.2652,3.4028,2.7245,2.9324,2.5053,2.8643,3.0366,1.2097,0.9659,3.3247,1.6778,1.9182,3.6164,2.7497,2.8454,3.3147,1.9883,1.7076,0.286666667,2.04
196408,1.3628,-1.7953,-0.0732,-0.5556,-0.7093,-1.8723,-1.8052,-1.0941,0.2929,-1.6881,-2.8592,-0.7807,0.775,-0.0471,-1.9402,-1.0383,0.1856,0.5684,-0.3519,0.3004,-2.1618,-1.0769,0.3913,-0.836,-2.9887,0.293333333,-1.16
196409,5.1446,4.117,7.0963,3.9321,4.2902,3.5755,2.5821,2.4545,2.0993,4.9459,1.9571,2.3218,2.9604,3.2274,3.916,3.1432,3.235,4.475,4.9438,4.7081,2.9827,2.365,4.5116,3.7883,6.3775,0.286666667,2.97
196410,1.7263,2.037,2.3119,2.3354,3.2126,-1.2895,1.4975,2.2561,1.4285,1.375,3.0445,3.1472,1.6338,1.4082,2.7433,0.8923,1.189,1.0297,2.9883,3.3081,0.3021,1.3231,-0.13,0.7222,4.0587,0.283333333,0.88
196411,-0.5696,-0.8341,0.4557,-0.1625,0.0332,-0.9071,-0.2628,-0.1825,-0.2482,-1.0424,1.2736,0.6672,-0.0257,0.3561,0.2292,0.7864,1.4671,-0.5037,-1.5902,-4.1041,1.1869,0.64,0.7298,-0.9635,-5.0556,0.286666667,0.29
196412,-2.751,-1.7157,-2.7129,-2.3296,-2.2913,1.5042,-0.0438,0.8139,-2.4808,-1.0004,0.185,0.6981,-0.4572,-1.9163,-0.5718,1.3144,-0.053,-1.5163,-0.9091,-1.0166,0.6413,-0.4583,-1.2808,-1.2589,-0.9763,0.296666667,0.34
196501,10.5587,7.1748,8.6838,8.9906,9.7183,7.2697,6.0871,5.4159,5.9364,6.3075,5.2467,6.1564,5.2898,6.4114,6.6295,6.2378,3.9183,5.0871,5.5969,7.7683,5.6183,3.429,4.3633,4.2606,3.3057,0.293333333,3.82
196502,1.4965,1.9014,2.2084,4.3179,3.9234,3.0453,3.9523,3.4704,3.0747,3.4936,4.4542,4.6659,4.5457,2.9399,3.8495,1.6281,3.6002,3.76,3.3624,1.8909,1.8365,1.4007,1.6619,1.8928,-0.1132,0.296666667,0.74
196503,1.3971,3.2172,1.0161,2.4532,3.9466,1.5193,-1.2247,1.0037,1.4263,0.6194,-0.2842,-0.0623,-0.1865,1.5735,0.9333,-0.356,-0.3951,-0.6055,0.7179,2.4554,-1.3858,-0.8955,-0.2697,-0.9253,-0.4659,0.313333333,-0.98
196504,3.5263,4.6734,4.5409,4.7422,4.8748,0.2264,4.1506,3.7218,4.4358,4.8044,2.5449,3.1182,4.3137,3.582,6.411,2.8203,2.7355,4.4673,3.5813,3.6673,2.7729,2.0124,2.3653,3.1263,2.1946,0.323333333,3.42
196505,0.6961,-1.3503,-0.2416,0.059,-0.0911,1.2125,-1.5929,-0.5728,-0.4252,-2.2964,-0.8056,0.1073,-1.5371,-0.8777,-0.8499,-1.4477,0.1585,-1.2407,-0.392,-3.6842,-0.0283,-0.4398,-0.7586,-1.3608,-2.6148,0.326666667,-0.46
196506,-11.7604,-10.3819,-10.0333,-8.3667,-8.8046,-9.9595,-8.2994,-8.6487,-7.8996,-7.985,-7.2058,-8.8249,-8.4026,-8.4529,-7.9746,-6.7425,-6.7961,-7.9901,-8.6986,-7.9709,-4.4537,-4.6952,-5.8166,-4.8877,-4.8231,0.323333333,-5.16
196507,1.7151,3.8878,3.1898,2.5215,4.1112,3.93,1.1552,2.8298,3.6838,4.5105,1.2444,4.2119,2.4499,4.5814,4.6735,3.0681,2.6442,3.9984,2.3797,5.6588,1.2016,1.0243,2.3454,3.4708,6.0697,0.323333333,1.74
196508,2.3995,5.2099,5.2098,4.5098,3.1904,7.2214,4.0068,4.8098,4.342,4.3861,8.5982,5.4919,7.2549,3.8467,6.0714,4.3978,4.1271,5.1264,3.1196,4.5636,3.725,2.0438,3.7891,2.5443,3.6054,0.33,3.06
196509,2.0775,6.4282,1.4947,3.5386,3.5825,4.8595,3.2387,2.5689,4.4674,3.103,2.2983,4.2469,2.1167,4.8578,4.3855,3.5111,3.5871,1.309,2.3448,4.0696,2.5178,2.2793,3.3017,3.1841,4.327,0.316666667,3.17
196510,5.986,8.2532,8.0363,6.4043,8.0803,5.387,6.3463,4.109,5.37,5.2389,4.489,5.224,4.9064,5.8177,4.9773,3.6201,3.2477,2.4703,3.5477,8.0331,2.3491,1.4857,3.471,4.133,4.8381,0.316666667,2.91
196511,6.1686,6.8022,3.6325,9.6502,7.4121,0.936,4.527,4.0414,4.7225,3.9403,3.192,3.2588,4.2722,2.8706,1.8101,3.8846,2.1914,2.8977,0.1964,6.0093,1.3741,0.0775,2.1417,-0.22,-0.9162,0.323333333,0.32
196512,7.0268,8.7453,4.6641,5.743,6.3874,3.1992,5.0453,4.2678,2.7979,7.5806,2.927,1.1736,4.1474,1.91,6.4855,2.0167,1.333,1.7013,4.2316,5.4395,1.6074,-0.2553,1.854,3.3802,3.8935,0.33,1.34
196601,9.571,8.1101,9.2435,10.0888,9.3061,4.5004,5.8719,4.8994,5.1058,6.6085,3.6844,2.3909,2.1863,4.6902,6.1079,0.7315,1.0774,3.9442,5.3298,4.9265,0.2935,-0.2037,2.4194,4.1045,4.3555,0.353333333,1.1
196602,6.7532,7.1336,4.357,5.119,7.2255,5.3891,4.3907,1.9255,-0.3434,3.8356,0.1628,1.1388,2.7803,2.0913,2.8085,0.7756,-1.6303,-0.1299,0.162,3.1625,-1.695,-3.0692,-0.9283,-1.54,-2.0078,0.353333333,-0.86
196603,1.3516,-0.6604,0.2591,-0.2448,-0.5485,-1.0368,-1.9775,-1.9716,-3.6673,-1.148,-1.7634,-3.75,-2.4971,-3.1148,-3.5313,-0.3443,-1.9808,-3.2628,-2.905,-3.7883,-0.6483,-1.3786,-1.4366,-2.3128,-3.499,0.37,-2.13
196604,7.9811,5.5572,5.7826,5.6374,5.4229,2.5225,4.8784,3.3558,6.238,7.6839,4.3185,3.3812,2.3778,4.3429,2.1964,4.1762,1.7999,2.9375,3.6245,1.4232,1.9475,1.1492,1.6152,3.6683,3.3504,0.356666667,2.48
196605,-11.3922,-12.2342,-10.4318,-10.0464,-11.3523,-8.8526,-8.8201,-7.9872,-9.1184,-7.9764,-6.1114,-6.1929,-7.0277,-9.6403,-8.8395,-4.7479,-4.7182,-6.3155,-8.2117,-10.4839,-3.9145,-3.6846,-4.9019,-5.94,-5.6907,0.376666667,-5.25
196606,-1.8996,-0.7461,-0.7579,-0.1296,0.1152,0.1955,-0.0273,0.7654,-1.3327,0.0291,-0.144,-0.8701,0.3727,-0.4042,-0.7251,-1.1802,-1.3058,-0.9612,1.8331,0.1994,-2.2482,-1.1414,-0.2268,0.8808,0.2062,0.376666667,-1.06
196607,-2.193,-1.2303,-2.4243,-1.085,-1.1226,-3.3094,-1.7635,-0.6138,-1.569,-1.4744,-0.9854,-1.5897,-0.7764,-1.0532,-1.3571,-0.9866,-1.338,-1.9367,-2.7874,-2.2205,-1.2897,-1.3198,-0.6499,0.2385,-1.2717,0.38,-1.28
196608,-12.3793,-11.3884,-10.6814,-11.0831,-10.5178,-13.4119,-10.5118,-9.4842,-9.7001,-10.9783,-10.6386,-8.9545,-8.1759,-10.1161,-8.9,-9.1296,-7.9189,-8.3284,-6.6906,-9.5773,-7.4476,-8.5316,-7.6052,-5.7808,-9.4098,0.38,-7.5
196609,-3.2264,-1.9365,-1.4539,-2.3449,-1.1498,-2.3327,0.9096,-2.2694,-2.2502,-1.9584,-2.1038,-4.672,0.3422,-0.2966,-1.3996,-1.1527,0.2189,-1.189,-3.4609,-0.4654,-1.4638,0.1979,-0.195,-1.2686,-1.464,0.386666667,-0.66
196610,-7.1176,-5.4166,-4.9254,-3.0922,-2.3013,-5.4114,-0.3336,-1.0462,-0.1204,-0.2822,-1.86,1.6961,3.2031,4.4595,1.8957,-0.006,4.6668,3.2186,3.2671,2.3218,3.7092,3.7793,7.9561,5.5641,6.6574,0.42,4.31
196611,6.9907,3.0589,4.2842,2.6895,3.1115,8.1064,3.6768,6.6486,2.0113,3.0964,9.8708,8.4719,1.5936,4.0953,1.1843,9.803,1.7637,2.7125,2.2215,0.6044,5.0849,3.433,0.9376,-1.1094,-0.138,0.416666667,1.8
196612,2.4186,3.056,1.051,1.1444,1.1861,5.1381,3.0725,1.5969,1.5067,0.7395,3.1221,3.1832,0.7861,3.2091,-0.4592,3.3427,1.901,1.4837,3.5474,1.9876,0.7985,1.7195,2.085,0.8818,0.3806,0.416666667,0.53
196701,23.6963,23.2137,23.7536,23.566,18.133,18.1394,16.4376,18.3582,18.5221,20.6337,17.654,14.764,12.5382,13.61,14.8335,10.5507,7.9733,11.7213,12.568,14.6273,6.9728,7.8027,7.8068,9.0612,13.1904,0.41,8.58
196702,8.5551,6.8279,7.0834,6.9124,7.25,3.5304,2.628,0.0726,3.2261,1.5565,2.1175,2.2417,2.2672,0.7427,1.0968,3.1502,-0.1593,-0.1033,1.4186,0.3972,2.1098,0.9388,-1.5316,-0.8154,-1.5795,0.396666667,1.14
196703,6.338,6.8068,4.7521,7.0522,5.5335,6.437,5.6892,6.961,6.2598,5.9386,5.4481,6.0924,4.1034,7.687,4.074,5.473,4.707,5.6876,5.0526,6.3956,3.9719,4.0119,2.5545,5.5241,4.9379,0.393333333,4.38
196704,5.6015,3.6936,4.7106,4.9563,3.8869,2.831,3.4643,5.0177,3.8347,2.5536,5.5828,3.9821,3.1017,4.3402,2.3535,6.0525,2.99,3.6037,3.407,2.8565,5.054,3.3404,0.5361,3.0412,0.4353,0.356666667,4.21
196705,1.3672,1.6733,-0.746,-0.1431,0.4649,-0.2908,0.8239,0.4825,-2.0629,-3.8184,-2.812,-1.8808,-1.9255,-0.024,-1.7,-2.2967,-0.2933,-1.9817,-1.1978,-0.0936,-5.221,-4.1011,-2.6045,-3.0941,-3.0427,0.346666667,-4
196706,14.6834,11.0496,14.0336,13.1606,10.4624,9.3307,6.1037,6.8764,8.408,5.6885,4.0025,8.1464,3.4576,4.6141,3.3731,2.8324,2.3034,3.7396,5.8191,5.372,1.1654,1.1739,0.8963,3.0807,3.2824,0.306666667,2.68
196707,10.2667,9.7193,9.4378,8.8976,11.7126,6.1449,6.9008,9.3436,9.3877,8.5924,5.406,4.7079,5.804,7.4605,11.5981,4.9158,4.3427,4.6331,7.5224,8.8987,4.9229,3.9627,6.1794,6.5702,6.5995,0.303333333,4.89
196708,-0.7779,1.1667,0.9271,0.8145,2.8473,-0.8101,-1.2944,0.6414,0.4112,1.3317,-2.6753,0.8522,1.4491,1.4097,-0.707,-0.8787,-0.8194,-0.6311,0.9128,4.0257,-0.4351,-1.273,-0.247,0.4655,1.2176,0.296666667,-0.58
196709,11.3079,11.7946,9.6816,8.4678,6.1235,5.2447,6.2975,6.8366,5.5749,3.4908,5.4496,1.5758,3.0722,4.543,2.3817,4.2148,1.9781,2.3031,4.0623,1.0023,2.7324,2.1561,2.5664,2.1997,-1.2789,0.313333333,3.43
196710,2.8117,-2.0611,-1.7998,0.037,-1.1847,-0.1916,-2.0635,0.0706,-3.213,-5.4007,-3.916,-1.1219,-3.9929,-3.1536,-3.0069,-4.5688,-5.3103,-5.0632,-2.8612,-5.1192,-2.6974,-4.6216,-4.9019,-6.3973,-6.8489,0.34,-2.7
196711,-2.6755,2.9986,-2.5971,-1.2624,-1.2638,1.8387,0.1049,3.0324,-0.0091,0.3498,2.437,1.022,0.7964,-0.7223,-0.3102,3.5798,0.8021,0.3832,0.2132,-0.686,1.0632,1.3285,0.2745,-1.0301,-0.8965,0.356666667,0.73
196712,14.8669,10.709,9.9723,10.9331,9.9898,12.6927,6.4244,8.7556,7.8429,8.8528,8.2093,5.773,5.2942,5.1324,6.7946,1.467,2.3262,4.5123,5.4807,3.6215,2.594,2.8649,3.7287,5.0926,3.113,0.36,3.38
196801,5.4107,5.4584,6.7908,5.4074,7.9985,-4.1755,-1.276,-0.383,1.8533,3.3219,-5.8883,0.1442,-0.1607,0.2279,2.6382,-7.5069,0.4776,-2.6234,0.2591,0.1019,-5.3814,-5.4125,-0.5068,-1.1267,-2.9459,0.363333333,-3.66
196802,-9.4909,-8.1038,-6.3752,-6.6907,-5.8916,-6.6352,-6.2822,-7.1941,-3.985,-4.9337,-6.5273,-4.1963,-3.0768,-2.3858,-4.0924,-5.3249,-3.287,-3.1652,-5.5651,-3.5882,-4.1998,-1.6608,-2.4828,-2.7029,-1.7993,0.373333333,-3.36
196803,-2.0631,-1.5835,-1.7492,-2.1215,-0.3867,-0.5952,-2.2437,-1.1458,-1.0532,-0.8072,1.7571,-0.4637,-2.6295,0.6418,-0.7797,0.1148,-0.6001,-0.818,0.5417,0.0388,2.0654,-0.8408,-0.8077,-1.8926,1.6804,0.39,0.58
196804,18.735,18.3499,15.6087,16.7159,17.1752,18.5921,13.0533,16.4024,12.076,12.8707,15.6555,11.9614,9.0348,9.9498,15.547,12.8018,7.6361,8.3455,12.2489,10.821,10.7529,7.5683,6.4821,9.6802,8.4955,0.4,9.48
196805,15.7052,12.5427,11.882,13.016,13.9051,11.2615,7.9637,7.3475,7.0986,7.7389,9.1401,5.2712,4.5999,5.516,7.0009,4.4809,4.5618,3.0561,3.9819,6.2759,1.9664,1.7267,1.3649,-0.703,7.2141,0.42,2.73
