,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,RF3,Mkt
196307,0.846,0.2361,0.5563,0.1097,-1.3212,-1.8721,0.2945,-0.8445,-1.897,-1.1889,-1.8443,-1.8302,-0.8524,-2.1542,-1.7984,-0.926,-1.6323,-2.0716,-1.6657,-1.8567,0.1401,0.4524,1.2557,-0.429,-1.1026,0.27,-0.12
196308,3.7993,2.1473,1.3214,2.3701,4.6745,5.3983,4.6462,4.3639,4.3337,8.2329,5.3591,4.918,5.3464,4.9512,5.1541,5.5868,4.8078,6.1241,7.5619,5.3469,5.771,4.223,4.7487,8.1419,6.3824,0.26,5.32
196309,-2.6961,0.2554,-1.0869,-1.5812,-0.3581,-3.9164,-1.5713,-0.6417,-1.1263,-2.9149,-4.6481,-1.3359,-0.4084,-0.4074,-1.8203,-2.6679,-1.9515,-2.005,-3.5823,-1.9943,-1.3721,-0.772,-0.9852,-0.1905,-3.4963,0.263333333,-1.3
196310,1.3607,-0.6273,1.2443,0.1,2.3724,1.1882,4.3011,2.3438,2.2628,3.9335,2.2585,0.6981,2.7287,2.0662,1.068,-0.2469,0.9288,2.3007,5.3382,0.6113,5.3261,1.7383,-0.2829,2.415,0.4857,0.27,2.82
196311,-3.1097,-4.3151,-1.5969,-1.0548,-1.0454,-4.1822,-1.7644,-0.7064,-0.0861,-0.1132,-2.9213,-1.6995,-0.894,-0.8042,-1.2116,-0.9078,-0.8552,-0.5062,1.1451,3.5388,-1.2561,0.9849,-1.5542,-2.1322,1.3455,0.276666667,-0.58
196312,-2.9433,-0.5491,-0.9018,-1.6367,-1.052,-0.6814,-0.9143,1.1527,0.9734,0.1212,0.6031,1.2495,1.3339,1.6512,0.4665,-0.1672,1.2662,1.629,3.1393,6.1498,2.6237,2.2981,2.2921,2.5149,2.1308,0.283333333,2.12
196401,3.951,3.1664,4.1068,4.1398,4.9545,-1.8043,-0.6418,3.6688,1.4916,4.2346,0.5049,0.6017,2.4719,3.9748,3.2152,-0.4312,1.8396,1.1379,3.6204,3.3373,3.0934,3.1881,1.7441,2.0144,1.6235,0.286666667,2.54
196402,3.1443,2.6589,2.2555,0.2821,4.5557,1.616,1.7313,2.5109,2.0108,6.1003,0.3066,2.4228,1.8142,3.6841,4.0122,2.6139,1.3568,3.1263,7.4544,4.6097,1.8224,0.5124,1.0418,3.983,3.751,0.283333333,1.8
196403,0.6318,1.1063,2.3753,3.5429,2.6887,2.322,3.244,3.472,5.6933,6.1528,-0.6283,2.5962,4.5313,5.5796,6.7543,1.7778,2.7423,5.4181,6.9476,0.7218,1.1585,0.7364,3.6898,3.8351,0.1494,0.29,1.72
196404,-1.7041,2.5755,-0.4091,-0.878,-0.9517,-0.7625,-4.0694,0.6079,-1.4876,-0.6557,-2.0105,-1.1358,0.1901,-0.6722,-1.0221,-2.7245,0.8434,1.4542,-2.0612,-2.2799,0.2273,1.4744,0.8217,-0.9047,2.4177,0.286666667,0.39
196405,-1.4021,-1.1706,0.4715,0.3367,1.5856,3.1248,0.3595,2.9579,1.8238,3.7386,-0.4885,1.506,-0.3773,2.1683,2.4988,1.2017,2.3584,1.3609,2.6065,4.101,2.0659,0.3111,1.2718,4.2802,3.3864,0.286666667,1.68
196406,1.922,0.6309,1.2774,0.7808,1.0969,0.8807,1.6791,1.5988,1.1471,2.2101,0.8569,2.5135,2.2126,2.3221,1.2404,1.0869,1.3307,1.1261,2.8764,3.1078,0.9729,2.8991,0.2828,1.3636,2.4156,0.283333333,1.57
196407,0.8464,3.883,3.2699,2.6285,4.732,1.0572,1.7093,4.1872,3.1051,2.4523,2.8108,2.618,3.0269,3.2799,1.2401,1.1496,3.3974,1.5688,1.7746,3.1177,2.5786,0.6863,3.9497,1.9029,0.8222,0.286666667,2.04
196408,1.2711,-1.907,-1.7871,-0.896,-0.5021,-1.7902,-2.3474,-1.2164,0.3228,-1.8547,-2.7834,-0.7085,0.567,-0.1977,-2.0228,-1.0162,0.1881,1.0186,-0.0191,-0.2374,-1.2839,-1.5433,-0.0707,-1.0389,-2.7371,0.293333333,-1.16
196409,4.6885,4.0315,5.912,2.7272,4.0094,3.5364,2.3556,2.4966,1.9974,4.747,1.7612,2.1592,3.2296,3.2253,3.7708,3.0483,3.3454,4.2984,4.849,4.7579,3.1074,1.1841,4.439,4.4254,6.9184,0.286666667,2.97
196410,1.7043,0.374,2.6409,2.2325,3.3382,-1.4831,1.8133,2.1445,1.3112,1.3596,3.2059,3.395,1.7484,1.3673,2.7154,1.148,1.2132,1.2688,3.1881,3.4816,0.3282,1.0377,0.3508,0.4145,3.6739,0.283333333,0.88
196411,-0.1603,-0.4088,0.7174,0.7246,0.5411,-0.699,-0.021,-0.1063,-0.5965,-1.7584,1.6113,0.6978,-0.0197,0.4266,0.164,0.7463,1.5067,-0.6105,-0.8331,-4.0612,1.0411,-0.2787,1.4876,-1.2429,-4.8657,0.286666667,0.29
196412,-1.5129,-1.3967,-2.2882,-2.5918,-1.8629,1.4318,-0.0855,0.8955,-2.2114,-0.9481,0.115,0.8008,-0.3939,-1.8123,-0.9072,0.8927,0.0535,-1.6199,-0.9551,-1.4361,0.8314,1.3187,-0.9272,-1.2009,-1.2581,0.296666667,0.34
196501,8.5641,5.8323,6.0736,7.245,8.7737,7.648,6.0748,5.5237,5.9866,6.1843,5.2046,6.2069,5.1145,6.0584,6.966,6.6636,4.1326,5.2312,5.1165,7.4877,4.7004,1.2592,3.1004,3.622,3.5078,0.293333333,3.82
196502,1.5794,1.0678,2.4398,3.0096,3.7662,3.4382,4.0329,3.6865,3.4893,3.5852,3.8964,4.7581,4.7885,2.894,3.4394,1.4307,3.5059,3.9892,3.1987,1.7863,0.1837,-0.1804,0.0796,-0.4272,-1.0988,0.296666667,0.74
196503,1.4044,2.717,1.2539,2.489,3.2037,2.0241,-1.4885,1.0198,1.3014,0.5858,-0.29,-0.1145,-0.2978,1.4463,0.6379,-0.5948,-0.3546,-0.4817,0.4395,2.0934,-1.324,-1.6618,-1.6367,-0.6142,0.2936,0.313333333,-0.98
196504,3.3757,4.8607,5.1667,4.0676,4.6019,0.0003,4.4483,4.6594,4.7033,5.142,2.8021,2.9261,4.3179,3.5262,6.7989,2.686,2.9329,4.6715,4.3912,2.6447,4.5878,1.871,2.1106,2.1037,4.333,0.323333333,3.42
196505,-0.597,-2.3215,-1.5495,-0.4232,-1.2693,1.2679,-1.3787,-0.7918,-0.3296,-2.1589,-0.4077,0.6734,-1.482,-0.8103,-0.58,-1.0995,-0.0272,-0.9491,-0.3614,-3.3105,-0.7212,0.926,-0.2344,-0.5163,-3.5541,0.326666667,-0.46
196506,-12.4001,-10.7627,-9.5287,-8.0205,-9.5674,-10.3844,-8.377,-9.0406,-8.3303,-8.2892,-6.9572,-9.3064,-8.4419,-8.7327,-8.3849,-6.4597,-6.9212,-8.1461,-8.6617,-8.9668,-4.4323,-3.5776,-4.9769,-3.633,-5.4288,0.323333333,-5.16
