date,Mkt-RF,SMB,HML,RF,Mkt,Mom   
196307,-0.39,-0.55,-0.81,0.27,-0.12,0.99
196308,5.07,-0.95,1.65,0.25,5.32,1.08
196309,-1.57,-0.3,0.19,0.27,-1.3,0.13
196310,2.53,-0.54,-0.09,0.29,2.82,3.14
196311,-0.85,-1.13,1.71,0.27,-0.58,-0.75
196312,1.83,-1.96,-0.1,0.29,2.12,1.7
196401,2.24,-0.19,1.61,0.3,2.54,1.06
196402,1.54,0.09,2.82,0.26,1.8,0.25
196403,1.41,0.99,3.34,0.31,1.72,0.72
196404,0.1,-1.36,-0.53,0.29,0.39,-0.6
196405,1.42,-0.9,1.96,0.26,1.68,2.54
196406,1.27,-0.26,0.68,0.3,1.57,0.47
196407,1.74,0.23,0.7,0.3,2.04,-0.32
196408,-1.44,0.09,0.09,0.28,-1.16,-0.2
196409,2.69,-0.51,1.64,0.28,2.97,-0.38
196410,0.59,0.45,1.15,0.29,0.88,0.13
196411,0,0.61,-1.99,0.29,0.29,1.1
196412,0.03,-0.25,-2.55,0.31,0.34,-0.71
196501,3.54,2.68,0.19,0.28,3.82,-1.3
196502,0.44,3.48,0.19,0.3,0.74,0.28
196503,-1.34,1.78,1.07,0.36,-0.98,0.09
196504,3.11,1.19,0.7,0.31,3.42,2.54
196505,-0.77,0.03,-1.61,0.31,-0.46,0.53
196506,-5.51,-4.35,0.58,0.35,-5.16,-3.13
196507,1.43,0.87,2.17,0.31,1.74,4.09
196508,2.73,2.84,-1.04,0.33,3.06,2.57
196509,2.86,0.63,-0.14,0.31,3.17,3.32
196510,2.6,2.48,1.5,0.31,2.91,3.44
196511,-0.03,4.69,0.2,0.35,0.32,4.41
196512,1.01,2.09,1.99,0.33,1.34,0.15
196601,0.72,3.86,3.54,0.38,1.1,5.42
196602,-1.21,4.46,0.39,0.35,-0.86,4.54
196603,-2.51,0.94,-2.03,0.38,-2.13,1.35
196604,2.14,3.43,-0.5,0.34,2.48,6.21
196605,-5.66,-4.67,-1.61,0.41,-5.25,-4.73
196606,-1.44,1.05,0.51,0.38,-1.06,3.31
196607,-1.63,-0.38,0.93,0.35,-1.28,-1.41
196608,-7.91,-3.33,0.59,0.41,-7.5,-2.08
196609,-1.06,-1.1,0.54,0.4,-0.66,-1.77
196610,3.86,-6.63,2.9,0.45,4.31,-5.13
196611,1.4,4.37,-4.64,0.4,1.8,5.73
196612,0.13,1.89,-1.34,0.4,0.53,1.07
196701,8.15,8.47,1.9,0.43,8.58,-6.75
196702,0.78,3.36,-2.23,0.36,1.14,3.56
196703,3.99,1.74,0.18,0.39,4.38,1.43
196704,3.89,0.6,-2.61,0.32,4.21,0.62
196705,-4.33,2,0.83,0.33,-4,0.59
196706,2.41,6.01,0.88,0.27,2.68,6.04
196707,4.58,3.08,2.65,0.31,4.89,-1.09
196708,-0.89,0.47,1.46,0.31,-0.58,-1.41
196709,3.11,3.1,-2.47,0.32,3.43,2.55
