date,RF,S--L,S--2,S--3,S--4,S--H,2--L,2--2,2--3,2--4,2--H,3--L,3--2,3--3,3--4,3--H,4--L,4--2,4--3,4--4,4--H,Mkt-RF,Mkt,Mkt-RF3,RF3
19630728,0.0027,0.0058,-0.0012,0.004,-0.0016,-0.016,-0.0214,0.0002,-0.0112,-0.0217,-0.0146,-0.0211,-0.021,-0.0112,-0.0242,-0.0207,-0.0108,-0.0185,-0.0244,-0.021,-0.0213,-0.0044,-0.0017,-0.0044,0.27
19630828,0.0025,0.0355,0.0187,0.0074,0.0214,0.0438,0.0515,0.044,0.0425,0.0408,0.0798,0.0511,0.0437,0.0527,0.0444,0.049,0.0533,0.0458,0.059,0.0677,0.0509,0.0502,0.0527,0.0501,0.26
19630928,0.0027,-0.0297,0.0003,-0.0149,-0.0186,-0.0064,-0.0419,-0.0184,-0.0082,-0.0139,-0.0318,-0.0491,-0.0187,-0.0089,-0.0032,-0.0209,-0.0285,-0.0219,-0.0226,-0.0364,-0.0226,-0.0146,-0.0119,-0.014533333,0.263333333
19631028,0.0029,0.0107,-0.0083,0.0095,-0.002,0.0207,0.0091,0.0401,0.0202,0.0188,0.0365,0.0197,0.0022,0.024,0.0143,0.0078,-0.0055,0.0049,0.0212,0.0436,0.0034,0.0248,0.0277,0.025,0.27
19631128,0.0027,-0.0337,-0.0442,-0.018,-0.0129,-0.0134,-0.0444,-0.0203,-0.0103,-0.0035,-0.0037,-0.0319,-0.018,-0.0113,-0.0146,-0.0148,-0.0126,-0.0118,-0.0068,0.0054,0.0324,-0.0083,-0.0056,-0.008366667,0.276666667
19631228,0.0029,-0.0323,-0.0065,-0.0105,-0.0195,-0.0133,-0.0097,-0.012,0.0079,0.0069,-0.0016,0.0032,0.0085,0.0127,0.0107,0.0018,-0.0045,0.0121,0.011,0.0227,0.0585,0.0188,0.0217,0.018866667,0.283333333
19640128,0.003,0.0364,0.0266,0.0397,0.0383,0.0457,-0.0208,-0.0091,0.033,0.0122,0.0391,0.0021,0.0031,0.0216,0.0356,0.0291,-0.0064,0.0144,0.0107,0.0305,0.0302,0.0228,0.0258,0.022933333,0.286666667
19640228,0.0026,0.0287,0.0225,0.0191,0.0005,0.0427,0.0136,0.0148,0.0226,0.0176,0.0583,0.0005,0.0254,0.0159,0.0322,0.0375,0.0243,0.0092,0.0306,0.0732,0.0434,0.0146,0.0172,0.014366667,0.283333333
19640328,0.0031,0.0032,0.0097,0.018,0.0324,0.0246,0.02,0.0294,0.033,0.054,0.0582,-0.0095,0.0231,0.0429,0.0472,0.0641,0.0156,0.0233,0.0537,0.0606,0.0044,0.0145,0.0176,0.0147,0.29
19640428,0.0029,-0.0199,0.0213,-0.005,-0.0116,-0.0129,-0.0104,-0.0433,0.0021,-0.0177,-0.009,-0.023,-0.0142,-0.0003,-0.0105,-0.0131,-0.0296,0.0047,0.0118,-0.0162,-0.0255,0.0017,0.0046,0.001733333,0.286666667
19640528,0.0026,-0.0166,-0.0119,0.0012,0.0008,0.0128,0.0285,0.0009,0.026,0.0157,0.0351,-0.0073,0.0124,-0.0063,0.0111,0.0223,0.0092,0.0206,0.0105,0.0166,0.0384,0.0148,0.0174,0.014533333,0.286666667
