date,RF,SMB,HML,Mkt-RF
19630728,0.0027,-0.0045,-0.0117,-0.0044
19630828,0.0025,-0.0103,0.018,0.0502
19630928,0.0027,-0.0021,0.0008,-0.0146
19631028,0.0029,-0.007,-0.002,0.0248
19631128,0.0027,-0.0121,0.0162,-0.0083
19631228,0.0029,-0.0217,0.0005,0.0188
19640128,0.003,-0.0027,0.0137,0.0228
19640228,0.0026,-0.0004,0.0279,0.0146
19640328,0.0031,0.0094,0.0294,0.0145
19640428,0.0029,-0.0137,-0.0067,0.0017
19640528,0.0026,-0.0075,0.0123,0.0148
19640628,0.003,-0.0031,0.0072,0.0121
19640728,0.003,0.0032,0.0075,0.0171
19640828,0.0028,-0.0009,0.0027,-0.0141
19640928,0.0028,-0.0056,0.0172,0.0277
19641028,0.0029,0.0037,0.0108,0.006
19641128,0.0029,0.0057,-0.0199,0.0002
19641228,0.0031,-0.0001,-0.0277,0.0006
19650128,0.0028,0.0229,0.0057,0.0359
19650228,0.003,0.0321,0.0034,0.004
19650328,0.0036,0.0186,0.0118,-0.0133
19650428,0.0031,0.0113,0.0061,0.0305
19650528,0.0031,0.0008,-0.015,-0.0075
19650628,0.0035,-0.0406,0.0031,-0.0554
19650728,0.0031,0.007,0.0219,0.0136
19650828,0.0033,0.0281,-0.0087,0.0276
19650928,0.0031,0.0031,0,0.0288
19651028,0.0031,0.0253,0.0184,0.0262
19651128,0.0035,0.0453,0.004,-0.0005
19651228,0.0033,0.0197,0.0206,0.0102
19660128,0.0038,0.0392,0.0345,0.0083
19660228,0.0035,0.0455,0.007,-0.0121
19660328,0.0038,0.0097,-0.0197,-0.0247
19660428,0.0034,0.0335,-0.0048,0.0214
19660528,0.0041,-0.0422,-0.02,-0.0566
19660628,0.0038,0.0106,0.0061,-0.0141
19660728,0.0035,-0.0022,0.0088,-0.0164
19660828,0.0041,-0.0324,0.0036,-0.0795
19660928,0.004,-0.011,0.0056,-0.011
19661028,0.0045,-0.0673,0.029,0.0378
19661128,0.004,0.0415,-0.0458,0.0135
19661228,0.004,0.0183,-0.0132,0.0022
19670128,0.0043,0.0804,0.0221,0.0812
19670228,0.0036,0.034,-0.0223,0.0074
19670328,0.0039,0.0154,0.0044,0.0395
19670428,0.0032,0.0062,-0.0265,0.0384
19670528,0.0033,0.0205,0.0096,-0.0426
19670628,0.0027,0.0575,0.012,0.0242
19670728,0.0032,0.0306,0.0246,0.046
19670828,0.0031,0.0046,0.0135,-0.0093
19670928,0.0032,0.0303,-0.0247,0.0311
19671028,0.0039,0.0165,-0.034,-0.0313
19671128,0.0036,0.0021,-0.0191,0.0043
19671228,0.0033,0.059,-0.0058,0.0304
19680128,0.004,0.0357,0.0405,-0.0403
19680228,0.0039,-0.0254,0.0088,-0.0375
19680328,0.0038,-0.0172,-0.0022,0.0013
19680428,0.0043,0.058,-0.0153,0.0898
19680528,0.0045,0.0623,0.0111,0.0225
19680628,0.0043,-0.0035,0.0076,0.0072
19680728,0.0048,-0.0152,0.0557,-0.0268
19680828,0.0042,0.0245,0.0092,0.0138
